parent_id	pH	pH min	pH max	half-life	half-life min	half-life max	half-life units	rate (k_1)	rate (k_1) min	rate (k_1) max	rate units	reaction	temperature (deg C)	activation (kcal/mol)	citation	comments	doi
106	7							0.0147			sec^-1	Anhydride Hydrolysis	65.8	13.77	Hawkins M.D. J. Chem. Soc., Perkin Trans. 2, 1975, 282-284		10.1039/p29750000282
106	7							0.00314			sec^-1	Anhydride Hydrolysis	39.5	13.77	Hawkins M.D. J. Chem. Soc., Perkin Trans. 2, 1975, 282-284		10.1039/p29750000282
164	1.26							1.75e-05			s-1	Lactone Hydrolysis	60	18	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558	rates in s-1	10.1021/ja00402a050
164	1.26							3.68e-05			s-1	Lactone Hydrolysis	70	18	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
164	1.26							8.69e-05			s-1	Lactone Hydrolysis	80	18	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
164	5.08							4.17e-06			s-1	Lactone Hydrolysis	60	14.8	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
164	5.08							8.8e-06			s-1	Lactone Hydrolysis	70	14.8	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
164	5.08							1.59e-05			s-1	Lactone Hydrolysis	80	14.8	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
164	7.7							0.000113			s^-1	Lactone Hydrolysis	60	23.4	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
164	7.7							0.000332			s^-1	Lactone Hydrolysis	70	23.4	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
164	7.7							0.000889			s^-1	Lactone Hydrolysis	80	23.4	Weeks D.P. and Whitney D.B. J. Am. Chem. Soc. 1981, 103, 3555-3558		10.1021/ja00402a050
80	7							0.034			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 2, solvent = water	10.1021/ja00204a021
158	7			5.6			days				hours	Carbonate Hydrolysis	50	17.5	Accessed April, 2015; http://apps.echa.europa.eu/registered/data/dossiers/DISS-db9aee68-95f8-1ba3-e044-00144f67d031/AGGR-038b5993-3a04-4895-abb7-e83b71d10cb7_DISS-db9aee68-95f8-1ba3-e044-00144f67d031.html#AGGR-038b5993-3a04-4895-abb7-e83b71d10cb7 	its also called as Luperox®, and is sold as a free radical initiator. The degradation poduct was 2-ethylhexanol.	
158	7			25			days				hours	Carbonate Hydrolysis	37	17.5			
158	7			563			days				hours	Carbonate Hydrolysis	15	17.5			
158	9			1.43			days				hours	Carbonate Hydrolysis	50	17.5	Accessed April, 2015; http://apps.echa.europa.eu/registered/data/dossiers/DISS-db9aaef6-7431-72c9-e044-00144f67d031/AGGR-a62206ea-4edd-45b0-8585-e6a5afca19cc_DISS-db9aaef6-7431-72c9-e044-00144f67d031.html#AGGR-a62206ea-4edd-45b0-8585-e6a5afca19cc		
158	9			4.72			days				hours	Carbonate Hydrolysis	37	17.5	Accessed April, 2015; http://apps.echa.europa.eu/registered/data/dossiers/DISS-db9aaef6-7431-72c9-e044-00144f67d031/AGGR-a62206ea-4edd-45b0-8585-e6a5afca19cc_DISS-db9aaef6-7431-72c9-e044-00144f67d031.html#AGGR-a62206ea-4edd-45b0-8585-e6a5afca19cc		
158	9			69.31			days				hours	Carbonate Hydrolysis	15	17.5	Accessed April, 2015; http://apps.echa.europa.eu/registered/data/dossiers/DISS-db9aaef6-7431-72c9-e044-00144f67d031/AGGR-a62206ea-4edd-45b0-8585-e6a5afca19cc_DISS-db9aaef6-7431-72c9-e044-00144f67d031.html#AGGR-a62206ea-4edd-45b0-8585-e6a5afca19cc		
17	7							0.06			hour^-1	Halogenated Aliphatics: Nucleophilic Substitution	25	24.89	Schwarzenbach R.P. et al  Environ. Sci. Technol 1985 19, 322-328	rate in hr-1	10.1021/es00132a014
162	10.05							2.88			10^-4*s^-1	Lactone Hydrolysis	25	15.63	Garrett E.R. et al J. Phar. Sci. 60(3) (1971) 396-405	.0015M NaOH	10.1002/jps.2600600312
162	10.3							5.33			10^-4*s^-1	Lactone Hydrolysis	25	15.63	Garrett E.R. et al J. Phar. Sci. 60(3) (1971) 396-405	.005NaOH	10.1002/jps.2600600312
162	10.52							10.05			10^-4*s^-1	Lactone Hydrolysis	25	15.63	Garrett E.R. et al J. Phar. Sci. 60(3) (1971) 396-405	.0095M NaOH	10.1002/jps.2600600312
162	10.78							14.5			10^-4*s^-1	Lactone Hydrolysis	25	15.63	Garrett E.R. et al J. Phar. Sci. 60(3) (1971) 396-405	0.015M NaOH	10.1002/jps.2600600312
79	7							0.056			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 2, solvent = water	10.1021/ja00204a021
78	7							0.009			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 1, solvent = water	10.1021/ja00204a021
85	7							0.6			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 2, solvent = water	10.1021/ja00204a021
84	7							0.0034			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 1, solvent = water	10.1021/ja00204a021
165	8.4							-3.2			log(kobs in s-1)	Lactone Hydrolysis	25	15.63	Heathcote D.M. et. al. J. Chem. Soc. Perkin Trans. 2, 1998, 535-540	1% dioxane, rate in s-1	10.1039/a707946j
88	7							100000			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	estimated by extrapolation of the Hammett plot for the hydrolysis of substituted benzoyl chlorides, table 2, column 2, solvent = water	10.1021/ja00204a021
88												Acid Halide Hydrolysis			Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.		10.1021/ja00204a021
87	7							0.0035			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 1, solvent = water	10.1021/ja00204a021
83	7							0.00029			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 1, solvent = water	10.1021/ja00204a021
86	7							0.0007			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 1, solvent = water	10.1021/ja00204a021
82	7							0.062			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 2, solvent = water	10.1021/ja00204a021
81	7							0.051			sec^-1	Acid Halide Hydrolysis	25	19.05	Song, B.D.; Jencks, W.P.  J. Am. Chem. Soc., 1989, 111, 8470-8479.	table 2, column 1, solvent = water	10.1021/ja00204a021
39	11							0.00022			sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. J. Am. Chem. Soc. 95(10), 3432, 1973	µ = 1, KCl; average of 10 runs at pH 10-12, units are sec-1	10.1021/ja00791a086
39	5.65							16400			M^-1 sec^-1	Epoxide Hydrolysis	25	17.67	Whalen D.L. J. Am. Chem. Soc. 95(10), 3432, 1973	µ = 1, KCl; average of 4 runs at pH 5.65 in cyanomethylamine buffer, units are M-1Sec-1	10.1021/ja00791a086
65	7							350			sec^-1	Acid Halide Hydrolysis	20	19.05	Prager et al  J. Chem. Soc., Perkin Trans. 2, 2001		
131	9			76.7			days				days	Carbamate Hydrolysis	25	17.9	Andrawes, N. and R. Meeker. 1976. Hydrolysis of Temik Aldicarb Pesticide in Aqueous Buffer Solutions. Project No. 111A13, File No. 22263. Unpublished study received Dec 6, 1977 under 1016-69; submitted by Union Carbide Corp., Arlington, VA		
140	5			89			days	0.00779			days^-1	Sulfonylurea Hydrolysis	26	22.66	EFSA Draft Assessment Report for Azimsulfuron, Aug. 11, 2009.	1996 EU Dossier Hausmann, S.M. (1991)	
140	7			124			days	0.00559			days^-1	Sulfonylurea Hydrolysis	26	22.66	EFSA Draft Assessment Report for Azimsulfuron, Aug. 11, 2009.		
140	9			132			days	0.00524			days^-1	Sulfonylurea Hydrolysis	26	22.66	EFSA Draft Assessment Report for Azimsulfuron, Aug. 11, 2009.		
129	8			16			days				days	Carbamate Hydrolysis	20	16.39	Aly O.M., El-Dib M.A. water Research, 1971, 5, 1191-1205 		10.1016/0043-1354(71)90084-4
129	9			1.6			days				days	Carbamate Hydrolysis	20	16.39	Aly O.M., El-Dib M.A. water Research, 1971, 5, 1191-1205 		10.1016/0043-1354(71)90084-4
129	10			0.175			days				days	Carbamate Hydrolysis	20	16.39	Aly O.M., El-Dib M.A. water Research, 1971, 5, 1191-1205 		10.1016/0043-1354(71)90084-4
125	5			46.5			days				days	Carbamate Hydrolysis	25	17.9	105201 bendiocarb	WHO Specifications and Evaluations for public Health Pesticides	
125	7			2			days				days	Carbamate Hydrolysis	25	17.9	105201 bendiocarb	WHO Specifications and Evaluations for public Health Pesticides	
125	9			0.030416666666666665			days				days	Carbamate Hydrolysis	25	17.9	105201 bendiocarb	WHO Specifications and Evaluations for public Health Pesticides	
191	4					0.5	hours					N-S Cleavage	20	25.8	EFSA Benfuracarb 2004		
191	7			1.4			days	0.0203			days^-1	N-S Cleavage	20	25.8	EFSA Benfuracarb 2004		
191	9			26.9			days	0.00107			days^-1	N-S Cleavage	20	25.8	EFSA Benfuracarb 2004		
104	9			141			days				days	Carboxylic Acid Ester Hydrolysis	25	14.34	EFSA Draft Assessment Report for Bensulfuron, May 8, 2007.	Temp 25 +/- 1	
104	4			6.1			days	0.1143			days^-1	Sulfonylurea Hydrolysis	25	22.66	EFSA Draft Assessment Report for Bensulfuron, May 8, 2007.	Temp 25 +/- 1	
104	7											Sulfonylurea Hydrolysis	25	22.66	EFSA Draft Assessment Report for Bensulfuron, May 8, 2007.	Temp 25 +/- 1	
104	9			141			days	0.0049			days^-1	Sulfonylurea Hydrolysis	25	22.66	EFSA Draft Assessment Report for Bensulfuron, May 8, 2007.	Temp 25 +/- 1	
