	id	parent_id	child_id	comments
235	523	47	304	
236	524	48		
237	527	48	305	
238	528	95		carboxylic acid hydrolysis products
239	529	95		
240	531	95	306	
241	536	143		sulfonyl urea products
242	537	143		
243	540	34		
244	543	34	307	
245	544	130		
246	545	130	308	"""Oxamyl degraded quantitatively to IN-A2213 (oxime), which represented 52% AR by day 8 and 93.2% AR by day 30 at pH 7, and 49% AR after 3 hrs, 83% AR after 7 hrs and 105.6% AR by day 15 at pH 9 (Table 8.4.1.1-2 and Table 8.4.1.1-3). No other degradation products"" were observed"
247	548	45		
248	551	45	309	
249	555	45	310	
250	556	151		
251	557	151		
